Model,Accuracy,Kappa,Macro_Sensitivity,Macro_Specificity,Macro_F1,Macro_Balanced_Accuracy
LASSO,0.9565217391304348,0.934191702432046,0.960648148148148,0.9790849673202614,0.9563095238095238,0.9698665577342048
Random Forest,0.782608695652174,0.6690647482014389,0.7893518518518519,0.8875350140056022,0.7811233211233211,0.838443432928727
